DATAFLOW,LAST UPDATE,freq,unit,month,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,2001,9928,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,2002,9658,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,2003,9676,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,2004,9829,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,2005,9849,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,2006,10158,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,2007,10411,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,2008,10943,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,2009,10718,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,2010,10786,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,2011,10759,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,2012,10626,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,2013,10732,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,2014,10850,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,2015,10131,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,2016,10170,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,2017,9903,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,2018,9805,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,2019,10008,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,2020,9730,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,2021,8693,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,2022,9485,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,2023,9204,p
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,1994,6723,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,1995,6185,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,1996,5763,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,1997,5701,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,1998,4791,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BG,1999,5820,
